Index,Layout,Net Power (MW),Net Heat (MW),T_info
324,GTaHTACaHCE,-7.392030517436858,7.392030506870683,1
325,GTaHTACaTHE,-7.366422209768713,7.366422210023154,1
326,GTaHTATCaHE,-7.417771291630177,7.417771292041384,0
327,GTaHTCaACTCHE,-7.496089880110417,7.496089880119283,1
328,GTaHTHACaHE,-7.419069684974577,7.419069685214952,1
329,GTaHTHTaACHE,-7.835182235884153,7.835182235883958,1
330,GTaHTaACACHE,-7.859808910545375,7.8598089485046305,1
331,GTaHTaACHCHE,-7.566893123385555,7.566893123385981,1
332,GTaHTaACTCHE,-7.814302410548445,7.814302410517715,1
333,GTaHTaACTHE,-7.769928142058503,7.769928142058775,1
334,GTaHTaATCHE,-7.775481856517079,7.775481856516525,0
335,GTaHTaATCTHE,-7.948544560470258,7.94854456047057,0
336,GTaHTaTACHE,-7.741040407030178,7.741040407314621,1
337,GTaTA-1C1H1ACaHE,-7.548958834895733,7.548958866848381,1
338,GTaTAC-1a1CHTC1HE,-7.728145895184348,7.728145898361225,1
339,GTaTAC-1aHT1CH1E,-7.715512680120557,7.715512697144047,1
340,GTaTACHCaHE,-7.927849733893895,7.927849734121356,1
341,GTaTACHTaHE,-7.797767902089944,7.7977679022948,1
342,GTaTACHaCHE,-7.664699080309976,7.664699080591444,1
343,GTaTACHaCTHE,-7.767103810815629,7.767103811025552,1
344,GTaTACTHCaHE,-7.92537238998452,7.9253723901979845,1
345,GTaTACTaCHE,-7.6288826943845764,7.628882699878752,1
346,GTaTACTaHCE,-7.718119970969643,7.718119974418927,1
347,GTaTACaHCHE,-7.807170060618565,7.807170064242143,1
348,GTaTACaHTCHE,-7.720724105342822,7.720724057331305,1
349,GTaTACaHTHE,-7.778921841145068,7.77892184698142,1
350,GTaTCACAaTHE,-8.978367181694594,8.978366500990676,1
351,GTaTCACaHE,-7.760147172701031,7.760147181324944,1
352,GTaTHACTaHE,-7.326819106459522,7.326819109754681,1
353,GTaTHCACHaHE,-7.556222497550328,7.556222497847244,1
354,GTaTHTaACACHE,-7.84078218106485,7.840782181064404,1
355,GTaTHTaACHE,-7.7974873003065,7.797487300306559,1
356,GTaTHTaCACHE,-7.685335751857758,7.685335752022199,1
357,Ga-1A1HTaACH1TACE,-8.343289214579112,8.343289216689772,1
358,Ga1HTaAC-1AC1CHE,-7.793318413013691,7.79331841301364,1
359,Ga1T1HTaAC-1HE,-7.784724645134892,7.784724645134822,1
360,GaCHTaAC-1H1H1E,-7.803072726405934,7.803072726405841,1
361,GaCHTaACTE,-7.560337495799022,7.560337495799197,1
362,GaCTH1AH1HTaAC-1THE,-7.4921083367602375,7.492108363685895,1
363,GaCTHTaACTHE,-7.919225081806501,7.919225081806276,1
364,GaCTHTaHACHE,-7.934395834494619,7.93439583449443,1
365,GaHT1TaAC-1T1HE,-7.745122116958232,7.745122116237141,1
366,GaHTCTaACHE,-7.7873161300773175,7.78731613420571,1
367,GaHTH1TaAC-1C1HE,-7.863261925993543,7.863261918064821,1
368,GaHTHTaACHE,-7.577233522617454,7.577233522631839,1
369,GaHTHTaACHTE,-7.7523195228347275,7.752319522834677,1
370,GaHTHTaACTHE,-7.6501683235722915,7.6501683235724345,1
371,GaHTHTaTHACHE,-7.815390044407223,7.815390044623215,1
372,GaHTHaACTHE,-7.396633954252595,7.396633954287238,1
373,GaHTaAC-1H1TH1E,-7.679869017688515,7.679869017688423,1
374,GaHTaAC1TH-1TACH1E,-7.6153670938279125,7.61536709386047,1
375,GaHTaACHCTE,-7.8434006934760365,7.843400693475865,1
376,GaHTaACHTCE,-7.775236210992113,7.775236210992064,1
377,GaHTaACHTE,-7.793164600549107,7.793164600548771,1
378,GaHTaACHTHE,-7.809651398924806,7.809651398924745,1
379,GaHTaACTHE,-7.928314734457811,7.928314734457891,1
380,GaHTaHTACHCE,-7.847087802933851,7.847087803211752,1
381,GaHTaTACHE,-7.792598275817089,7.792598276026316,1
382,GaHTaTACTCHE,-7.919392392793445,7.9193923929922505,1
383,GaT1HTaAC-1H1HE,-7.805018325255268,7.80501832525545,1
384,GaTACaHTCE,-7.412332208272722,7.412332228772569,1
385,GaTACaHTE,-7.82752854507157,7.827528549135253,1
386,GaTH1TaAC-1HCH1E,-7.735497313808937,7.735497308981366,1
387,GaTHT1TaACH-1H1E,-7.840307571561363,7.840307577715833,1
388,GaTHTHaACHE,-7.605556048487038,7.605556048500847,1
389,GaTHTaACACHE,-7.794040370428851,7.794040370429211,1
390,GaTHTaACHE,-7.8008767196248225,7.8008767196247355,1
391,GaTHTaACHTE,-7.85857291375511,7.858572913755167,1
392,GaTHTaACTCHE,-7.775947268203567,7.7759472682033595,1
393,GaTHTaACTHE,-7.797369070505071,7.797369070505317,1
394,G1C1TaACaHT-1ACE,-7.668160599006736,7.668160631537221,1
395,G1C1TaAT-1ACaHE,-7.677812986887608,7.677812963673068,1
396,G1CHTaACAaC-1H1ACHE,-8.68961292039036,8.689612920390378,1
397,G1CTaH1TaAC-1HE,-7.808784310219927,7.808784310219466,1
398,G1H1HTaACaHT-1AE,-7.61163410813905,7.611634108139448,1
399,G1H1TaACaH-1HE,-7.7507747392104696,7.7507747392106205,1
400,G1HTaACAa-1H1CHTE,-9.260941597057869,9.260941597057357,1
401,G1HTaACAa-1T1ACHE,-8.39674887540528,8.396748875405756,1
402,G1HTaACTa-1C1HE,-7.430623437750687,7.430623437751075,1
403,G1HTaACa-1HT1TACE,-7.763713863528477,7.763713863528438,1
404,G1HTaACaH-1T1ACE,-7.753154563435504,7.7531545634354915,1
405,G1T1HTaACa-1HAE,-7.587228441078927,7.587228441079367,1
406,G1T1TaAC-1aHTE,-7.717285004588236,7.7172850046708215,1
407,G1T1aHTaAC-1HE,-7.539461809257414,7.539461809257217,1
